# Original Entry by: Pascal Bousquet

# Skill Name
Acrobatics.MOD							SORTKEY:Acrobaties									OUTPUTNAME:Acrobaties
Profession (Baker).MOD					SORTKEY:Profession (Boulanger)                   	OUTPUTNAME:Profession (Boulanger)
Profession (Barrister).MOD				SORTKEY:Profession (Avocat)                      	OUTPUTNAME:Profession (Avocat)
Profession (Brewer).MOD					SORTKEY:Profession (Brasseur)                    	OUTPUTNAME:Profession (Brasseur)
Profession (Butcher).MOD				SORTKEY:Profession (Boucher)                     	OUTPUTNAME:Profession (Boucher)
Profession (Clerk).MOD					SORTKEY:Profession (Pretre)                      	OUTPUTNAME:Profession (Pretre)
Profession (Cook).MOD					SORTKEY:Profession (Cuisinier)                   	OUTPUTNAME:Profession (Cuisinier)
Profession (Courtesan).MOD				SORTKEY:Profession (Courtisant)                  	OUTPUTNAME:Profession (Courtisant)
Profession (Driver).MOD					SORTKEY:Profession (Conducteur)                  	OUTPUTNAME:Profession (Conducteur)
Profession (Engineer).MOD				SORTKEY:Profession (Ingénieur)                   	OUTPUTNAME:Profession (Ingénieur)
Profession (Farmer).MOD					SORTKEY:Profession (Fermier)                     	OUTPUTNAME:Profession (Fermier)
Profession (Fisherman).MOD				SORTKEY:Profession (Pécheur)                     	OUTPUTNAME:Profession (Pécheur)
Profession (Gambler).MOD				SORTKEY:Profession (Joueur)                      	OUTPUTNAME:Profession (Joueur)
Profession (Gardener).MOD				SORTKEY:Profession (Jardinier)                   	OUTPUTNAME:Profession (Jardinier)
Profession (Herbalist).MOD				SORTKEY:Profession (Herborist)                   	OUTPUTNAME:Profession (Herborist)
Profession (Innkeeper).MOD				SORTKEY:Profession (Aubergiste)                  	OUTPUTNAME:Profession (Aubergiste)
Profession (Librarian).MOD				SORTKEY:Profession (Libraire)                    	OUTPUTNAME:Profession (Libraire)
Profession (Merchant).MOD				SORTKEY:Profession (Marchant)                    	OUTPUTNAME:Profession (Marchant)
Profession (Midwife).MOD				SORTKEY:Profession (Sage-Femme)                  	OUTPUTNAME:Profession (Sage-Femme)
Profession (Miller).MOD					SORTKEY:Profession (Meunier)                     	OUTPUTNAME:Profession (Meunier)
Profession (Miner).MOD					SORTKEY:Profession (Mineur)                      	OUTPUTNAME:Profession (Mineur)
Profession (Porter).MOD					SORTKEY:Profession (porteur)                     	OUTPUTNAME:Profession (porteur)
Profession (Sailor).MOD					SORTKEY:Profession (Marin)                       	OUTPUTNAME:Profession (Marin)
Profession (Scribe).MOD					SORTKEY:Profession (Scribe)                      	OUTPUTNAME:Profession (Scribe)
Profession (Shepherd).MOD				SORTKEY:Profession (Berger)                      	OUTPUTNAME:Profession (Berger)
Profession (Soldier).MOD				SORTKEY:Profession (Soldat)                      	OUTPUTNAME:Profession (Soldat)
Profession (Stable Master).MOD			SORTKEY:Profession (Palfrenier)                  	OUTPUTNAME:Profession (Palfrenier)
Profession (Tanner).MOD					SORTKEY:Profession (Tanneur)                     	OUTPUTNAME:Profession (Tanneur)
Profession (Trapper).MOD				SORTKEY:Profession (Trappeur)                    	OUTPUTNAME:Profession (Trappeur)
Profession (Woodcutter).MOD				SORTKEY:Profession (Bucheron)                    	OUTPUTNAME:Profession (Bucheron)
Ride.MOD								SORTKEY:Equitation                               	OUTPUTNAME:Equitation
Sense Motive.MOD						SORTKEY:Psychologie                              	OUTPUTNAME:Psychologie
Sleight of Hand.MOD						SORTKEY:Escamotage                               	OUTPUTNAME:Escamotage
Spellcraft.MOD							SORTKEY:Art de la magie                          	OUTPUTNAME:Art de la magie
Stealth.MOD								SORTKEY:Détection                                	OUTPUTNAME:Détection
Survival.MOD							SORTKEY:Survie                                  	OUTPUTNAME:Survie
Swim.MOD								SORTKEY:Natation                                 	OUTPUTNAME:Natation
Use Magic Device.MOD					SORTKEY:Utilisation d'objets magiques            	OUTPUTNAME:Utilisation d'objets magiques
