# Authors : Ludovic Fierville, Philippe Aubé
SOURCELONG:Document de Référence du Système (version 3.5)	SOURCESHORT:DRS	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35

Acid (Flask).MOD				OUTPUTNAME:Acide (flasque)
Artisan's Tools (Shipmaking).MOD	OUTPUTNAME:Outils de fabricant de bateaux
Artisan's Tools (Stonemasonry).MOD	OUTPUTNAME:Outils de maçon
Artisan's Tools (Trapmaking).MOD	OUTPUTNAME:Outils de fabricant de pièges
Artisan's Tools (Weaponsmithing).MOD	OUTPUTNAME:Outils de fabricant d'armes
Artisan's Tools (Woodworking).MOD	OUTPUTNAME:Outils de menuisier
Climber's Kit.MOD	OUTPUTNAME:Matéiel d'escalade
Disguise Kit.MOD	OUTPUTNAME:Trousse de déguisement
Healer's Kit.MOD	OUTPUTNAME:Trousse de premiers soins
Hourglass.MOD	OUTPUTNAME:Sablier
Holly and Mistletoe.MOD	OUTPUTNAME:Houx et gui
Holy Symbol (Wooden).MOD	OUTPUTNAME:Symbole sacré en bois
Holy Symbol (Silver).MOD	OUTPUTNAME:Symbole sacré en argent
Magnifying Glass.MOD	OUTPUTNAME:Loupe
Musical Instrument (Bells).MOD	OUTPUTNAME:Instrument du musique : carillon
Musical Instrument (Chime).MOD	OUTPUTNAME:Instrument du musique
Musical Instrument (Drum).MOD	OUTPUTNAME:Instrument du musique : tambour
Musical Instrument (Gong).MOD	OUTPUTNAME:Instrument du musique : gong
Musical Instrument (Fiddle).MOD	OUTPUTNAME:Instrument du musique : viole
Musical Instrument (Harp).MOD	OUTPUTNAME:Instrument du musique : harpe
Musical Instrument (Lute).MOD	OUTPUTNAME:Instrument du musique : luth
Musical Instrument (Mandolin).MOD	OUTPUTNAME:Instrument du musique : mandoline
Musical Instrument (Flute).MOD	OUTPUTNAME:Instrument du musique : pipot
Musical Instrument (Pan Pipes).MOD	OUTPUTNAME:Instrument du musique : flûte de pan
Musical Instrument (Recorder).MOD	OUTPUTNAME:Instrument du musique : flûte à bec
Musical Instrument (Shawm).MOD	OUTPUTNAME:Instrument du musique : bombarde
Musical Instrument (Trumpet).MOD	OUTPUTNAME:Instrument du musique : trumpet
Scale (Merchant's).MOD	OUTPUTNAME:Blance
Spell Component Pouch.MOD	OUTPUTNAME:Sacoche à composantes
Spellbook (Wizard's/Blank).MOD	OUTPUTNAME:Grimoire (vierge)
Thieves' Tools.MOD	OUTPUTNAME:Outils de cambrioleur
Waterclock.MOD	OUTPUTNAME:Clepsydre
			
Wheat (Per Lb.).MOD	OUTPUTNAME:Froment (1 livre)
Flour (Per Lb.).MOD	OUTPUTNAME:Farine (1 livre)
Chicken.MOD	OUTPUTNAME:Poulet
Iron (Per Lb.).MOD	OUTPUTNAME:Fer (1 livre)
Tobacco (Per Lb.).MOD	OUTPUTNAME:Tabac (1 livre)
Copper (Per Lb.).MOD	OUTPUTNAME:Cuivre (1 livre)
Cinnamon (Per Lb.).MOD	OUTPUTNAME:Canelle (1 livre)
Goat.MOD	OUTPUTNAME:Chèvre
Ginger (Per Lb.).MOD	OUTPUTNAME:Gingembre (1 livre)
Pepper (Per Lb.).MOD	OUTPUTNAME:Poivre (1livre)
Sheep.MOD	OUTPUTNAME:Mouton
Pig.MOD	OUTPUTNAME:Porc
Linen (sq. yard).MOD	OUTPUTNAME:Lin (1m²)
Salt (Per Lb.).MOD	OUTPUTNAME:Sel (1 livre)
Silver (Per Lb.).MOD	OUTPUTNAME:Argent (1 livre)
Silk (sq. yard).MOD	OUTPUTNAME:Soie (1m²)
Cow.MOD	OUTPUTNAME:Vache
Saffron (Per Lb.).MOD	OUTPUTNAME:Safran (1 livre)
Cloves (Per Lb.).MOD	OUTPUTNAME:Clous de girofle (1 livre)
Ox.MOD	OUTPUTNAME:Bœuf
Gold (Per Lb.).MOD	OUTPUTNAME:Or (1 livre)
Platinum (Per Lb.).MOD	OUTPUTNAME:Platine (1 livre)

Carriage.MOD	OUTPUTNAME:Carriole
Cart.MOD	OUTPUTNAME:Charrette
Galley.MOD	OUTPUTNAME:Galère
Keelboat.MOD	OUTPUTNAME:Bateau à fond plat
Longship.MOD	OUTPUTNAME:Drakkar
Rowboat.MOD	OUTPUTNAME:Barque
Oar.MOD	OUTPUTNAME:Rame
Sailing Ship.MOD	OUTPUTNAME:Navire de haute mer
Sled.MOD	OUTPUTNAME:Traîneau
Wagon.MOD	OUTPUTNAME:Chariot
Warship.MOD	OUTPUTNAME:Navire de guerre

Coach Cab (Per Mile).MOD	OUTPUTNAME:Diligence (pour 1,5km)
Hireling (Trained).MOD	OUTPUTNAME:Employé qualifié
Hireling (Untrained).MOD	OUTPUTNAME:Employé non qualifié
Messenger (Per Mile).MOD	OUTPUTNAME:Messager (pour 1,5km à parcourir)
Ship's Passage (Per Mile).MOD	OUTPUTNAME:Traversée en bateau
Road or Gate Toll.MOD	OUTPUTNAME:Droit de passage ou d'entrée

Catapult (Heavy).MOD	OUTPUTNAME:Catapulte lourde
Catapult (Light).MOD	OUTPUTNAME:Catapulte légère
Ballista.MOD	OUTPUTNAME:Balliste
Ram.MOD	OUTPUTNAME:Bélier
Siege Tower.MOD	OUTPUTNAME:Tour de siège

# armors & shields
Padded.MOD	OUTPUTNAME:Armure matelassée
Leather.MOD	OUTPUTNAME:Armure de cuir
Studded Leather.MOD	OUTPUTNAME:Armure de cuir cloutée
Chain Shirt.MOD	OUTPUTNAME:Chemise de mailles

Hide.MOD	OUTPUTNAME:Armure de peau
Scale Mail.MOD	OUTPUTNAME:Armure d'écailles
Chainmail.MOD	OUTPUTNAME:Cotte de mailles
Breastplate.MOD	OUTPUTNAME:Cuirasse

Splint Mail.MOD	OUTPUTNAME:Clibanion
Banded Mail.MOD	OUTPUTNAME:Crevice
Half-Plate.MOD	OUTPUTNAME:Armure à plaques
Full Plate.MOD	OUTPUTNAME:Harnois

Buckler.MOD	OUTPUTNAME:Targe
Shield (Light/Metal).MOD	OUTPUTNAME:Rondache en acier
Shield (Light/Wood).MOD	OUTPUTNAME:Rondache en bois
Shield (Heavy/Metal).MOD	OUTPUTNAME:Écu en acier
Shield (Heavy/Wood).MOD	OUTPUTNAME:Écu en bois
Shield (Tower/Wood).MOD	OUTPUTNAME:Pavois

Barding (Padded).MOD	OUTPUTNAME:Barde matelassée
Barding (Leather).MOD	OUTPUTNAME:Barde de cuir
Barding (Studded Leather).MOD	OUTPUTNAME:Barde de cuir clouté
Barding (Chain Shirt).MOD	OUTPUTNAME:Barde partielle de mailles

Barding (Hide).MOD	OUTPUTNAME:Barde de peau
Barding (Scale Mail).MOD	OUTPUTNAME:Barde d'écailles
Barding (Chainmail).MOD	OUTPUTNAME:Barde de mailles
Barding (Breastplate).MOD	OUTPUTNAME:Barde type cuirasse

Barding (Splint Mail).MOD	OUTPUTNAME:Barde type clibanion
Barding (Banded Mail).MOD	OUTPUTNAME:Barde type crevice
Barding (Half-Plate).MOD	OUTPUTNAME:Barde de plaques
Barding (Full Plate).MOD	OUTPUTNAME:Barde  de type harnois

# coins & gems
Agate (Banded).MOD	OUTPUTNAME:Agate rubanée
Agate (Eye).MOD	OUTPUTNAME:Agate œillée
Agate (Moss).MOD	OUTPUTNAME:Agate (mousse)
Azurite.MOD	OUTPUTNAME:Azurite
Quartz (Blue).MOD	OUTPUTNAME:Quartz bleu
Hematite.MOD	OUTPUTNAME:Hématite
Lapis Lazuli.MOD	OUTPUTNAME:Lapis-lazuli
Malachite.MOD	OUTPUTNAME:Malachite
Obsidian.MOD	OUTPUTNAME:Obsidienne
Rhodochrosite.MOD	OUTPUTNAME:Rhodochrosite
Tiger Eye.MOD	OUTPUTNAME:Œil-de-tigre
Turquoise.MOD	OUTPUTNAME:Turquoise
Pearl (Freshwater/Irregular).MOD	OUTPUTNAME:Perle irrégulière
Bloodstone.MOD	OUTPUTNAME:Jaspe sanguin
Carnelian.MOD	OUTPUTNAME:Cornaline
Chalcehony.MOD	OUTPUTNAME:Calcédoine
Chrysoprase.MOD	OUTPUTNAME:Chrysoprase
Citrine.MOD	OUTPUTNAME:Citrine
Iolite.MOD	OUTPUTNAME:Iolite
Jasper.MOD	OUTPUTNAME:Jaspe
Moonstone.MOD	OUTPUTNAME:Pierre de lune
Onyx.MOD	OUTPUTNAME:Onyx
Peridot.MOD	OUTPUTNAME:Péridot
Rock Crystal (Clear Quartz).MOD	OUTPUTNAME:Cristal de roche
Sard.MOD	OUTPUTNAME:Sardoine
Sardonyx.MOD	OUTPUTNAME:Onyx marbre
Quartz (Rose).MOD	OUTPUTNAME:Quartz rose
Quartz (Smoky).MOD	OUTPUTNAME:Quartz laiteux
Quartz (Star Rose).MOD	OUTPUTNAME:Quartz rutilé
Zircon.MOD	OUTPUTNAME:Zircon
Amber.MOD	OUTPUTNAME:Ambre
Amethyst.MOD	OUTPUTNAME:Améthyste
Chrysoberyl.MOD	OUTPUTNAME:Chrysobéryl
Coral.MOD	OUTPUTNAME:Corail
Garnet (Red).MOD	OUTPUTNAME:Grenat rouge
Garnet (Brown-Green).MOD	OUTPUTNAME:Grenat brun-vert
Jade.MOD	OUTPUTNAME:Jade
Jet.MOD	OUTPUTNAME:Jais
Pearl (White).MOD	OUTPUTNAME:Perle blanche
Pearl (Golden).MOD	OUTPUTNAME:Perle dorée
Pearl (Pink).MOD	OUTPUTNAME:Perle rose
Pearl (Silver).MOD	OUTPUTNAME:Perle argentée
Spinel (Red).MOD	OUTPUTNAME:Spinelle rouge
Spinel (Red-Brown).MOD	OUTPUTNAME:Spinelle brun-rouge
Spinel (Deep Green).MOD	OUTPUTNAME:Spinelle vert sombre
Tourmaline.MOD	OUTPUTNAME:Tourmaline
Alexandrite.MOD	OUTPUTNAME:Alexandrite
Aquamarine.MOD	OUTPUTNAME:Aigue-marine
Garnet (Violet).MOD	OUTPUTNAME:Grenat almandin
Pearl (Black).MOD	OUTPUTNAME:Perle noire
Spinel (Deep Blue).MOD	OUTPUTNAME:Spinelle bleu nuit
Topaz (Golden Yellow).MOD	OUTPUTNAME:Topaze jaune d'or
Emerald.MOD	OUTPUTNAME:Émeraude
Opal (White).MOD	OUTPUTNAME:Opale blanche
Opal (Black).MOD	OUTPUTNAME:Opale noire 
Opal (Fire).MOD	OUTPUTNAME:Opale de feu
Sapphire (Blue).MOD	OUTPUTNAME:Saphir bleu
Corundum (Firey Yellow).MOD	OUTPUTNAME:Corindon jaune ambré
Corundum (Rich Purple).MOD	OUTPUTNAME:Corindon pourpre
Star Sapphire (Blue).MOD	OUTPUTNAME:Saphir étoilé bleu
Star Sapphire (Black).MOD	OUTPUTNAME:Saphir étoilé bleu
Ruby (Star).MOD	OUTPUTNAME:Rubis
Emerald (Clearest Bright Green).MOD	OUTPUTNAME:Émeraude pure
Diamond (Blue-White).MOD	OUTPUTNAME:Diamant limpide
Diamond (Canary).MOD	OUTPUTNAME:Diamant jaune
Diamond (Pink).MOD	OUTPUTNAME:Diamant rose
Diamond (Brown).MOD	OUTPUTNAME:Diamant brun
Diamond (Blue).MOD	OUTPUTNAME:Diamant bleu
Jacinth.MOD	OUTPUTNAME:Hyacinthe

# poisons
Poison (Nitharit).MOD	OUTPUTNAME:Poison (Niharite)
Poison (Sassone leaf residue).MOD	OUTPUTNAME:Poison (Poudre d'assone)
Poison (Malyss root paste).MOD	OUTPUTNAME:Poison (pâte de racine de Malyss)
Poison (Terinav root).MOD	OUTPUTNAME:Poison (racine de terrivane)
Poison (Black lotus extract).MOD	OUTPUTNAME:Poison (extrait de lotus noir)
Poison (Dragon bile).MOD	OUTPUTNAME:Poison (bile de dragon)
Poison (Striped toadstool).MOD	OUTPUTNAME:Poison (entolome zébré, champignon)
Poison (Arsenic).MOD	OUTPUTNAME:Poison (Arsenic)
Poison (Id moss).MOD	OUTPUTNAME:Poison (Amnésite, poudre)
Poison (Oil of taggit).MOD	OUTPUTNAME:Poison (huile de taggit)
Poison (Lich dust).MOD	OUTPUTNAME:Poison (cendres de liche)
Poison (Dark reaver powder).MOD	OUTPUTNAME:Poison (poudre d'assone)
Poison (Ungol dust).MOD	OUTPUTNAME:Poison (cendres d'ungol)
Poison (Insanity mist).MOD	OUTPUTNAME:Poison (brume de folie)
Poison (Burnt othur fumes).MOD	OUTPUTNAME:Poison (vapeur d'othur brûlée)
Poison (Black adder venom).MOD	OUTPUTNAME:Poison (Venin de vipère à tête noire)
Poison (Small centipede poison).MOD	OUTPUTNAME:Poison (Venin de petit mille-pattes)
Poison (Bloodroot).MOD	OUTPUTNAME:Poison (Tormentille)
Poison (Drow Poison).MOD	OUTPUTNAME:Poison des Drow
Poison (Greenblood oil).MOD	OUTPUTNAME:Poison (extrait de sanvert)
Poison (Blue whinnis).MOD	OUTPUTNAME:Poison (Niharite)
Poison (Medium spider venom).MOD	OUTPUTNAME:Poison (venin d'arignée monstrueuse)
Poison (Shadow essence).MOD	OUTPUTNAME:Poison (essence d'ombre)
Poison (Wyvern poison).MOD	OUTPUTNAME:Poison (venin de wyverne)
Poison (Large scorpion venom).MOD	OUTPUTNAME:Poison (venin de scorpion monstrueux)
Poison (Giant wasp poison).MOD	OUTPUTNAME:Poison (Venin de guêpe géante)
Poison (Deathblade).MOD	OUTPUTNAME:Poison (mortelame)
Poison (Purple worm poison).MOD	OUTPUTNAME:Poison (Venin de ver pourpre)

# weapon_ammo
Arrows (20).MOD	OUTPUTNAME:Flèches (20)
Bolts (Crossbow/10).MOD	OUTPUTNAME:Carreaux d'arbalète (10)
Bolts (Crossbow/Repeating/5).MOD	OUTPUTNAME:Carreaux pour arbalète à répétition (5)
Bullets (Sling/10).MOD	OUTPUTNAME:Billes de fronde (10)
Arrow.MOD	OUTPUTNAME:Flèche
Bolt (Crossbow).MOD	OUTPUTNAME:Carreau d'arbalète
Bolt (Crossbow/Repeating).MOD	OUTPUTNAME:Carreau pour arbalète à répétition
Bullet (Sling).MOD	OUTPUTNAME:Bille de fronde
Arrows (50).MOD	OUTPUTNAME:Flèches (50)
Bolts (Crossbow/50).MOD	OUTPUTNAME:Carreaux d'arbalète (50)
Bolts (Crossbow/Repeating/50).MOD	OUTPUTNAME:Carreaux pour arbalète à répétition (50)
Bullets (Sling/50).MOD	OUTPUTNAME:Billes de fronde (50)

# weapons
Armor Spikes.MOD	OUTPUTNAME:Armure à pointes
Dagger.MOD	OUTPUTNAME:Dague
Dagger (Punching).MOD	OUTPUTNAME:Dague (coup de poing)
Mace (Light).MOD	OUTPUTNAME:Masse d'armes légère
Gauntlet (Spiked).MOD	OUTPUTNAME:Gantelet (clouté)
Gauntlet (Locked).MOD	OUTPUTNAME:Gantelets d'armes (à fixations)

Sickle.MOD	OUTPUTNAME:Serpe
Club.MOD	OUTPUTNAME:Gourdin
Mace (Heavy).MOD	OUTPUTNAME:Masse d'armes lourde
Morningstar.MOD	OUTPUTNAME:Morgenstern
Shortspear.MOD	OUTPUTNAME:Épieu
Longspear.MOD	OUTPUTNAME:Pique
Quarterstaff.MOD	OUTPUTNAME:Bâton
Spear.MOD	OUTPUTNAME:Lance

Axe (Throwing).MOD	OUTPUTNAME:Hache de lancer
Hammer (Light).MOD	OUTPUTNAME:Marteau léger
Handaxe.MOD	OUTPUTNAME:Hachette
Kukri.MOD	OUTPUTNAME:Kukri
Pick (Light).MOD	OUTPUTNAME:Pic de guerre léger
Sap.MOD	OUTPUTNAME:Matraque
Spiked Armor.MOD	OUTPUTNAME:Armure à pointes
Sword (Short).MOD	OUTPUTNAME:Épée courte
Battleaxe.MOD	OUTPUTNAME:Hache d'armes
Flail.MOD	OUTPUTNAME:Fléau d'armes
Longsword.MOD	OUTPUTNAME:Épée longue
Pick (Heavy).MOD	OUTPUTNAME:Pic de guerre lourd
Rapier.MOD	OUTPUTNAME:Rapière
Scimitar.MOD	OUTPUTNAME:Cimeterre
Trident.MOD	OUTPUTNAME:Trident
Warhammer.MOD	OUTPUTNAME:Marteau de guerre
Falchion.MOD	OUTPUTNAME:Cimeterre à deux mains
Glaive.MOD	OUTPUTNAME:Coutille
Greataxe.MOD	OUTPUTNAME:Grande hache
Greatclub.MOD	OUTPUTNAME:Massue
Flail (Heavy).MOD	OUTPUTNAME:Fléau d'armes lourd
Greatsword.MOD	OUTPUTNAME:Épée à deux mains
Guisarme.MOD	OUTPUTNAME:Guisarme
Halberd.MOD	OUTPUTNAME:Hallebarde
Lance.MOD	OUTPUTNAME:Lance d'arçon
Ranseur.MOD	OUTPUTNAME:Corsèque
Scythe.MOD	OUTPUTNAME:Faux

Kama.MOD	OUTPUTNAME:Kama
Nunchaku.MOD	OUTPUTNAME:Nunchaku
Sai.MOD	OUTPUTNAME:Sai
Siangham.MOD	OUTPUTNAME:Siangham
Sword (Bastard).MOD	OUTPUTNAME:Épée bâtarde
Waraxe (Dwarven).MOD	OUTPUTNAME:Hache de guerre naine
Whip.MOD	OUTPUTNAME:Fouet
Axe (Orc Double).MOD	OUTPUTNAME:Hache double orque
Chain (Spiked).MOD	OUTPUTNAME:Chaîne cloutée
Flail (Dire).MOD	OUTPUTNAME:Fléau double
Hammer (Gnome Hooked).MOD	OUTPUTNAME:Marteau-piolet gnome
Sword (Two-Bladed).MOD	OUTPUTNAME:Double-lame
Urgrosh (Dwarven).MOD	OUTPUTNAME:Urgrosh nain

Gauntlet.MOD	OUTPUTNAME:Gantelet
Unarmed Strike.MOD	OUTPUTNAME:Combat à mains nues
Flurry of Blows.MOD	OUTPUTNAME:Déluge de coups
Grapple.MOD	OUTPUTNAME:Lutte
Shieldbash (Light).MOD	OUTPUTNAME:Coup de bouclier (léger)
Shieldbash (Heavy).MOD	OUTPUTNAME:Coup de bouclier (lourd)

Bolas.MOD	OUTPUTNAME:Bolas
Crossbow (Hand).MOD	OUTPUTNAME:Arbalète de poing
Crossbow (Repeating Heavy).MOD	OUTPUTNAME:Arbalète lourde à répétition
Crossbow (Repeating Light).MOD	OUTPUTNAME:Arbalète légère à répétition
Net.MOD	OUTPUTNAME:Filet
Shuriken.MOD	OUTPUTNAME:Shuriken

Shortbow.MOD	OUTPUTNAME:Arc court
Longbow.MOD	OUTPUTNAME:Arc long
Shortbow (Composite).MOD	OUTPUTNAME:Arc court composite
Longbow (Composite).MOD	OUTPUTNAME:Arc long composite
Shortbow (Composite +0).MOD	OUTPUTNAME:Arc court composite (+0)
Longbow (Composite +0).MOD	OUTPUTNAME:Arc long composite (+0)

